Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Morrisons Indian Takeaway Samosa Selection | Morrisons,2,0,271,17.4,4,19.8,2.3,3.4,7.5,0.58
Morrisons Takeaway Chicken Korma | Morrisons,3,0,163,10.4,4.8,4.2,3.1,1.4,12.7,0.44
Morrisons Mac & Cheese Bake | Morrisons,2.5,0,279,14.6,5.4,29,1.5,1.3,7.3,0.54
Morrisons Takeaway Onion Bhajis | Morrisons,1.5,0,253,15.6,1.1,20.4,5.3,4.6,5.7,0.85
Morrisons Indian Chicken Tikka Masala & Pilau Rice | Morrisons,2.5,0,150,6.2,2.1,16.3,2.6,1.3,6.6,0.59
Morrisons Steak & Ale with Cheesy Mash | Morrisons,2.5,0,102,3.4,2,10,0.7,0.8,7.4,0.5
Morrisons Cottage Pie | Morrisons,2.5,0,99,4.1,2,8.8,1,1.2,6.2,0.6
Morrisons Shepherd's Pie | Morrisons,2.5,0,101,3.7,2.1,10.7,1.1,1.4,5.4,0.53
Morrisons Italian Macaroni Cheese | Morrisons,2.5,0,164,6.2,3.6,19,1.9,1.3,7.2,0.6
Morrisons Indian Chicken Korma & Pilau Rice | Morrisons,2.5,0,149,5.9,2.7,15.8,2.2,1.8,7.1,0.37
Morrisons Sweet & Sour Chicken with Egg Fried Rice | Morrisons,2.5,0,137,3.7,0.5,19.4,6.6,1.5,5.5,0.46
Morrisons Italian Chicken & Bacon Pasta Bake | Morrisons,2.5,0,160,5.3,2.8,17.2,2,1,10.1,0.44
Morrisons Italian Spaghetti Bolognese | Morrisons,2.5,0,102,2.4,0.9,12.5,1.4,1.4,6.8,0.42
Morrisons Sausage & Mash | Morrisons,2.5,0,127,7.2,2.8,11.2,1.8,1.4,3.8,0.5
Morrisons Italian Sausage Pasta Bake | Morrisons,2.5,0,163,6,1.5,20.6,3.6,2.1,5.4,0.47
Morrisons Corned Beef Hash | Morrisons,2.5,0,128,3.8,1.1,13.1,1.1,2.4,9.1,0.63
Morrisons Cumberland Pie | Morrisons,2.5,0,92,3.4,1.6,8.5,0.5,1.2,6.2,0.55
Morrisons Crispy Chilli Beef | Morrisons,3.5,0,260,8.3,0.9,39.3,16.9,2.7,5.5,0.79
Morrisons Takeaway Special Chow Mein | Morrisons,3.5,0,109,3.8,0.5,11.9,1.6,1.4,6.1,0.66
Morrisons Casserole & Dumplings | Morrisons,2.5,0,113,4.2,2,11.8,1.5,1,6.4,0.59
Morrisons Penne Mozzarella | Morrisons,2.5,0,143,4.1,1,20,3.7,1.7,5.5,0.4
Morrisons Italian Spaghetti Carbonara | Morrisons,2.5,0,146,5.4,2.7,16.7,1.4,0.8,7,0.45
Morrisons Oriental Chinese Chicken Curry & Egg Fried Rice | Morrisons,2.5,0,139,5.7,2.1,14.9,1.7,1.7,6.2,0.53
Morrisons Braised Beef & Mash | Morrisons,2.5,0,79,2.1,0.9,10.3,1.7,0.9,4.2,0.57
Morrisons Mushroom & Ham Tagliatelle | Morrisons,2.5,0,137,4,2,17.8,1.7,1.1,6.7,0.27
Morrisons Takeaway Chicken Dopiaza | Morrisons,3,0,118,5.4,0.9,4.5,3.4,2,11.9,0.51
Morrisons Chicken & Mushroom Cumberland Pie | Morrisons,2.5,0,136,7,3.7,11.4,1.7,1.3,6.4,0.39
Morrisons Chicken in Black Bean Sauce with Egg Fried Rice | Morrisons,2.5,0,121,4.2,0.6,13.1,2.3,1.7,6.8,0.72
Morrisons Mexican Chicken | Morrisons,3.75,0,163,7.5,2,6,1.5,1.5,17.2,0.7
"Morrisons Chicken, Leek & Bacon | Morrisons",2.5,0,113,3.6,1.1,11.6,2.1,1.4,7.7,0.59
Morrisons Oriental Chicken Chow Mein | Morrisons,2.5,0,124,3,0.5,15.3,2.1,1.4,7.9,0.53
Morrisons Indian Chicken Jalfrezi & Rice | Morrisons,2.5,0,114,3.9,0.4,11.6,2.4,1.2,7.4,0.53
Morrisons Italian King Prawn Linguine | Morrisons,2.5,0,124,3.6,0.3,16.3,3.8,1.6,5.5,0.63
Morrisons Fresh Ideas Pulled Beef Chilli & Rice | Morrisons,3.25,0,111,2.4,0.6,13.6,4.6,2.8,7.1,0.28
Morrisons Italian Chicken Parmesan Fettuccine 400G | Morrisons,2.5,0,140,3.9,1.9,16.2,1.4,1,9.3,0.37
Morrisons Takeaway Bombay Potato | Morrisons,1.5,0,84,4,0.3,9.1,2.9,2.7,1.7,0.51
Morrisons Indian Meals For Me Butter Chicken | Morrisons,2.5,0,136,6,2.6,12.9,3.1,1.1,7.1,0.63
"Morrisons Fresh Ideas Chicken, Green Vegetables & Broccoli | Morrisons",3.25,0,108,2.5,1,11.2,1.6,1.8,9,0.18
Morrisons Chicken Arrabiatta | Morrisons,2.5,0,123,2.2,0.5,16.6,2.9,1.5,8.2,0.41
Morrison Italian Chicken & Mushroom Risotto | Morrisons,2.5,0,134,4.4,2.1,16,1,0.5,7.2,0.4
Morrisons Fresh Ideas Chicken Paella | Morrisons,3.25,0,120,2.4,0.6,16.6,3.1,2,7,0.31
Morrisons Fresh Ideas Chicken Biryani | Morrisons,3.25,0,114,2.3,0.7,13.6,3.6,3.9,7.6,0.43
Morrisons Indian Hot Chicken Tikka Masala & Pilau Rice | Morrisons,2.5,0,129,5.4,1.8,11.7,2.3,1.3,7.6,0.63
Morrisons Chicken Madras & Pilau Rice | Morrisons,2.5,0,140,6.4,2.4,12.8,1.4,1.7,6.9,0.44
Morrisons Tex Mex Chilli Con Carne & Rice | Morrisons,2.5,0,112,2.6,1,15.2,2.7,1.5,6.1,0.19
Morrisons Fresh Ideas Chinese Chicken Noodles | Morrisons,3.25,0,92,1.8,0.3,11.6,1.6,1.8,6.3,0.38
Morrisons 10 Tempura Prawns | Morrisons,2.5,0,288,15.8,2.5,27.4,0.3,1.3,8.4,0.69
Morrisons Fresh Ideas King Prawn Linguine | Morrisons,3.25,0,88,1.3,0.2,12.5,6.2,2.4,5.3,0.45
Morrisons Chicken Rogan Josh & Pilau Rice | Morrisons,2.5,0,117,3.4,0.4,13.5,2.2,1.8,7.1,0.62
Morrisons Crispy Barbecue Chicken | Morrisons,3.75,0,170,5.6,1.3,7.7,6.5,3.8,20.1,0.56
"Morrisons Ready To Cook Chicken, Mushroom & Pancetta | Morrisons",3.75,0,127,4.5,1.5,0.5,0.5,1,20.7,0.4
Morrisons Chicken Bhuna & Pilau Rice | Morrisons,2.5,0,113,2.8,0.4,13.1,2.1,1.9,7.8,0.6
Morrisons V Taste Mushroom Bolognese | Morrisons,3,0,79,2,0.3,11.8,1.9,1.6,2.6,0.5
