Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Sainsbury's British Classic Cottage Pie 400g (Serves 1) | Sainsbury's,2,0,91,3.1,1.5,9.7,1,1.1,5.5,0.37
Sainsbury's Classics Sausages & Mash 400g (Serves 1) | Sainsbury's,2,0,123,5.8,2.3,12.1,1.8,1.3,4.9,0.61
"Sainsbury's Fish Pie, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,118,4.7,2.1,10.7,1.1,1,7.6,0.57
"Sainsbury's Cottage Pie, Taste the Difference 400g (Serves 1) | Sainsbury's",3.25,0,130,6.2,3.1,10.2,1.6,3.3,6.8,0.6
Sainsbury's Classics Beef Casserole with Dumplings 400g (Serves 1) | Sainsbury's,2.5,0,130,5,2.5,12.6,2.2,1.8,7.4,0.86
"Sainsbury's Lasagne, Taste the Difference 400g (Serves 1) | Sainsbury's",3.5,0,145,6.7,3,10.9,2.6,4.1,8.2,0.52
Sainsbury's Indian Chicken Tikka Masala with Pilau Rice 400g (Serves 1) | Sainsbury's,2.8,0,140,5.5,1.6,15.4,3.7,1.6,6.4,0.51
Sainsbury's Classic Liver & Bacon With Mash 400g (Serves 1) | Sainsbury's,2,0,104,2.6,1.3,12.2,1.6,2.4,6.6,0.5
Sainsbury's Sweet & Sour Chicken With Rice 400g (Serves 1) | Sainsbury's,2.75,0,155,4.7,0.7,19.5,6.9,1.2,7.9,0.3
"Sainsbury's Lamb Moussaka, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,133,8.6,4.1,7.5,2.5,0.8,6.1,0.43
Sainsbury's Classic Shepherds Pie 400g (Serves 1) | Sainsbury's,2.25,0,104,4.6,2.3,10.5,1.4,1.1,4.4,0.4
Sainsbury's Macaroni Cheese 375g (Serves 1) | Sainsbury's,2.5,0,138,5.6,3.5,14.6,1.2,1.9,6.4,0.54
Sainsbury's Duck In Plum Sauce With Egg Fried Rice 400g (Serves 1) | Sainsbury's,3.5,0,153,4,0.8,23.2,8.9,1.4,5,0.36
Sainsbury's Classic Cumberland Pie 400g (Serves 1) | Sainsbury's,2.25,0,124,5.3,2.7,12.3,2,2,5.7,0.48
"Sainsbury's Macaroni Cheese, Basics 300g (Serves 1) | Sainsbury's",1,0,143,5.8,2.8,16.7,1,1.4,5.3,0.58
