Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Waitrose Classic Fish Pie | Waitrose & Partners,2.75,0,96.0,3.2,1.8,10.6,2.0,1.2,5.6,0.59
Waitrose Italian Spaghetti Bolognese | Waitrose & Partners,2.75,0,140.0,4.5,1.9,19.1,1.7,0.8,5.4,0.4
Waitrose Italian Macaroni Cheese with Bacon | Waitrose & Partners,2.75,0,207.0,9.1,4.3,21.5,1.7,1.0,9.3,0.61
Waitrose Italian Beef Lasagne | Waitrose & Partners,2.75,0,131.0,5.9,2.4,11.3,2.2,1.0,7.7,0.54
Waitrose Italian Chicken & Parmesan Fettuccine | Waitrose & Partners,2.75,0,144.0,4.9,3.0,15.3,1.9,0.9,9.1,0.45
Waitrose Classic Chilli Con Carne with Rice | Waitrose & Partners,2.75,0,137.0,4.7,1.7,15.9,1.7,3.6,5.9,0.38
Waitrose Italian Macaroni Cheese | Waitrose & Partners,2.75,0,193.0,8.7,4.5,19.0,1.3,2.6,8.3,0.59
Waitrose Italian Tuna Pasta Bake | Waitrose & Partners,2.75,0,150.0,5.3,1.8,16.5,3.2,0.9,8.6,0.41
Waitrose Indian Chicken Biryani | Waitrose & Partners,2.66,0,147.0,5.0,0.9,16.3,1.7,1.5,8.6,0.55
Waitrose Italian Beef Bolognese Pasta Bake | Waitrose & Partners,2.75,0,179.0,7.6,3.4,18.0,2.0,1.0,9.1,0.55
Waitrose Classics Cumberland Pie | Waitrose & Partners,2.75,0,97.0,3.7,1.5,10.7,1.7,1.3,4.5,0.55
Waitrose Classics Cottage Pie | Waitrose & Partners,2.75,0,87.0,3.1,1.3,10.2,1.8,1.1,4.2,0.52
Waitrose Vegan Green Thai Curry Soya Pieces & Rice | Waitrose & Partners,3.75,0,145.0,5.4,2.3,17.1,3.0,3.1,5.5,0.83
"Waitrose Classics Chicken, Spinach & Leek Pie | Waitrose & Partners",2.75,0,126.0,5.5,2.7,10.7,2.1,1.3,7.9,0.34
Waitrose Italian Ham & Mushroom Tagliatelle | Waitrose & Partners,2.75,0,151.0,6.2,2.8,16.3,1.7,1.0,7.1,0.4
Waitrose Classics Shepherd's Pie | Waitrose & Partners,2.75,0,107.0,4.7,2.4,10.2,2.0,1.2,5.5,0.43
Waitrose Classics Lamb with Mint & Redcurrant | Waitrose & Partners,2.32,0,104.0,3.9,2.0,9.5,3.0,1.8,6.9,0.29
Waitrose Italian Spaghetti Carbonara | Waitrose & Partners,2.75,0,172.0,8.3,4.1,16.9,1.2,0.8,7.0,0.44
Waitrose Italian Spinach & Ricotta Cannelloni | Waitrose & Partners,2.75,0,142.0,8.6,3.9,9.6,2.8,1.8,5.5,0.51
Waitrose four cheese ravioli | Waitrose & Partners,2.75,0,150.0,6.3,2.6,17.4,3.5,0.9,5.4,0.48
Waitrose Indian Chicken Tikka Masala & Pilau Rice | Waitrose & Partners,2.33,0,156.0,7.9,2.8,13.4,3.2,1.4,7.1,0.4
Waitrose Classics Braised Beef & Mash | Waitrose & Partners,2.32,0,76.0,1.9,0.8,5.9,2.3,1.1,8.2,0.28
Waitrose Asian Korean Barbecue Pork & Sticky Rice | Waitrose & Partners,3.99,0,142.0,3.8,1.1,19.2,4.8,2.1,6.5,0.75
Waitrose Italian Spaghetti & Meatballs | Waitrose & Partners,2.75,0,131.0,6.0,1.8,12.8,2.7,0.8,6.1,0.34
Waitrose Vegan Mushroom Carbonara | Waitrose & Partners,3.75,0,122.0,4.4,3.0,16.5,1.0,2.4,3.0,0.4
Waitrose Chinese Chicken Chow Mein | Waitrose & Partners,3.69,0,108.0,2.6,0.5,12.7,3.1,2.8,6.9,0.81
Waitrose Classic Beef Stroganoff with Rice | Waitrose & Partners,2.32,0,118.0,3.1,1.3,15.3,0.8,1.2,6.5,0.5
Waitrose Indian Vegetable Biryani | Waitrose & Partners,2.66,0,139.0,5.6,1.2,17.5,3.4,3.6,2.8,0.46
Waitrose Classic Chicken Hotpot | Waitrose & Partners,2.75,0,97.0,3.7,0.7,9.8,1.5,1.4,5.4,0.36
Waitrose Asian Katsu Chicken Curry | Waitrose & Partners,3.99,0,166.0,6.2,1.5,18.1,1.8,2.1,8.3,0.51
Waitrose Indian Chicken Korma & Pilau Rice | Waitrose & Partners,2.33,0,158.0,7.9,3.7,14.0,2.0,2.4,6.6,0.61
Waitrose Italian Chicken Arrabiata Penne | Waitrose & Partners,2.75,0,132.0,3.8,1.1,17.5,3.0,1.8,6.1,0.32
Waitrose Classics Chicken in Mushroom Sauce | Waitrose & Partners,2.32,0,129.0,2.0,0.9,19.4,0.7,1.8,7.4,0.29
Waitrose Asian Chicken Pad Thai | Waitrose & Partners,3.99,0,147.0,6.0,1.1,15.5,3.0,2.6,6.6,0.43
Waitrose Vegan Chilli with Soya Mince & Rice | Waitrose & Partners,3.75,0,107.0,2.1,0.2,14.9,3.5,3.6,5.4,0.35
Waitrose Asian Nasi Goreng | Waitrose & Partners,3.99,0,128.0,3.1,0.5,16.5,3.2,1.8,7.7,0.71
Waitrose Chinese Singapore Noodles | Waitrose & Partners,3.99,0,131.0,5.0,0.9,14.3,1.8,1.2,6.5,0.62
Waitrose Classics Sausage & Mash | Waitrose & Partners,2.75,0,136.0,8.2,2.9,9.5,2.0,1.1,5.6,0.47
Waitrose Vegan Mac & Greens | Waitrose & Partners,3.75,0,121.0,4.7,3.2,14.3,0.7,3.9,3.3,0.4
Waitrose Vegan Sweet Potato Katsu Curry with Sticky Rice | Waitrose & Partners,3.75,0,156.0,5.4,1.2,23.5,4.2,1.7,2.6,0.5
