Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Finest Cottage Pie 400G | Tesco,3.5,FALSE,114,4,1.9,12.2,1.7,0.9,6.8,0.5
Finest Shepherds Pie 400G | Tesco,3.5,FALSE,109,3.9,1.9,12.1,1.6,1.1,5.8,0.6
Finest Lasagne 400G | Tesco,3.5,FALSE,179,8.5,3.8,14.2,1.9,1,10.9,0.5
Finest Macaroni 'N' Triple Cheese 400G | Tesco,3.5,TRUE,174,6,3.2,22,2.1,1.4,7.3,0.4
Finest Ham Hock Leek & Potato Gratin 400G | Tesco,3.5,FALSE,140,7.8,4.3,9.6,1.6,0.9,7.4,0.9
Macaroni Cheese 450G | Tesco,2.5,FALSE,167,6.1,3.5,20.6,2,1,6.8,0.4
Finest Creamy Fish Pie 400G | Tesco,3.5,FALSE,143,8.4,4.1,8.9,1.2,1,7.6,0.8
Finest Roast Chicken & Pancetta Bake 400G | Tesco,3.5,FALSE,174,9.6,3.4,11.6,2.3,1.4,9.7,0.6
Cottage Pie 450G | Tesco,2.5,FALSE,109,3.9,1.6,12,0.8,1.3,5.9,0.4
Bangers & Mash 450G | Tesco,2.5,FALSE,113,5.1,2.2,12,1.8,1.3,4,0.7
Spaghetti Bolognese 450G | Tesco,2.5,FALSE,129,4,1.6,14.7,2.2,1.7,7.7,0.3
Chicken Jalfrezi & Pilau Rice 450G | Tesco,2.5,FALSE,106,2.4,0.4,12.2,2.3,3,7.3,0.5
Chicken Tikka Masala & Pilau Rice 450G | Tesco,2.5,FALSE,142,5.9,2.5,13.2,2.7,2.1,7.9,0.5
Chicken & Bacon Pasta Bake 450G | Tesco,2.5,FALSE,137,4.1,2.1,15.7,1.9,1,8.9,0.5
Tomtato And Mozzarella Pasta Bake 450G | Tesco,2.5,TRUE,109,2.3,1.3,16.4,2.9,1.6,4.9,0.2
Ham & Mushroom Tagliatelle 450G | Tesco,2.5,FALSE,119,3.6,1.7,14.3,1.7,1,6.8,0.5
Finest Chicken Tikka Masala And Pilau Rice 450G | Tesco,3.5,FALSE,140,4.4,1.5,16.4,2.4,2,7.6,0.6
Shepherds Pie 450G | Tesco,2.5,FALSE,84,1.9,1,11.8,1.1,1,4.4,0.5
Chicken Korma & Rice 450G | Tesco,2.5,FALSE,143,6.6,2.2,11.5,2.3,2.8,8.1,0.4
Spaghetti & Meatballs 450G | Tesco,2.5,FALSE,114,3.6,1.4,12.4,2.4,1.7,7.2,0.2
Beef Lasagne 450G | Tesco,2.5,FALSE,148,7.7,3.8,11.1,2.5,0.8,8.1,0.5
Spaghetti Carbonara 450G | Tesco,2.5,FALSE,126,3.8,1.8,15.7,1.9,1.5,6.5,0.5
Braised Beef & Mash 450G | Tesco,2.5,FALSE,92,2.9,1.1,9.7,1.3,1.1,6.2,0.5
Liver Bacon & Mash 450G | Tesco,2.5,FALSE,109,3.7,1.5,13.2,1.2,0.8,5.4,0.4
Minced Lamb Hotpot 450G | Tesco,2.5,FALSE,90,3,1.1,9.4,1.5,1.5,5.6,0.6
Chicken Casserole And Dumplings 450G | Tesco,2.5,FALSE,128,6.4,2.7,8.7,1.1,1.6,8.1,0.7
Finest Beef Stroganoff With Rice 450G | Tesco,3.5,FALSE,156,5.4,2.2,16.8,0.9,1.3,9.6,0.3
Bangers & Mash In Yorkshire Pudding 440G | Tesco,2.5,FALSE,153,6.5,2.1,17.4,2,1.6,5.6,0.6
Bbq Pulled Pork With Cheesy Mash 450G | Tesco,2.5,FALSE,131,6,3,12.3,5.7,1.2,6.2,0.6
Beef Casserole And Dumplings 450G | Tesco,2.5,FALSE,130,5.6,2.8,11.1,2,0.9,8.1,0.6
Chicken In Mushroom Sauce 370G | Tesco,2.5,FALSE,78,2.2,0.9,6.2,1.2,1.3,7.8,0.3
Sweet & Sour Chicken & Rice 450G | Tesco,2.5,FALSE,167,6,1.2,20.5,4.2,1.8,6.8,0.3
Hearty Food Company Cottage Pie 400G | Tesco,1.1,FALSE,73,1.3,0.4,12.3,0.4,1.1,2.6,0.4
Cod Mornay With Mash & Peas 380G | Tesco,2.5,FALSE,92,2.5,1.6,8.6,1.7,2,7.7,0.3
Chicken Tikka Masala Meal For One 550G | Tesco,3.5,FALSE,147,7.7,2.3,11.7,4.2,4.8,5.3,0.6
Chicken Roast Dinner 400G | Tesco,3.7,FALSE,95,2.9,0.6,9.8,2,1.5,6.7,0.3
Finest Moussaka 350G | Tesco,3.5,FALSE,151,10.5,4,4.9,1.5,1.3,8.6,0.6
Roast Beef Dinner 400G | Tesco,3.7,FALSE,107,2.4,0.3,13.3,2.5,2.3,7,0.4
Finest Spaghetti Carbonara 400G | Tesco,3.5,FALSE,158,7.8,4.1,14.3,1.7,0.9,7.2,0.6
Finest Cumberland Sausages With Creamy Mash 500G | Tesco,3.5,FALSE,178,12.2,4.8,8.4,2.1,1,8.2,0.5
Finest Spaghetti Bolognese 400G | Tesco,3.5,FALSE,135,5,1.9,14,1.8,1.1,7.9,0.3
Toad In The Hole 340G | Tesco,2.5,FALSE,268,15.4,5.8,19,1.8,2.4,12.2,1.1
Cumberland Pie 450G | Tesco,2.5,FALSE,98,3.5,1.6,11.6,1.6,1,4.4,0.4
Cottage Pie 400G | Tesco,2.5,FALSE,87,2.3,1.1,11.9,1.3,1.2,4.2,0.4
Italian Vegetable Lasagne 450G | Tesco,2.5,TRUE,90,3.2,1.4,11.5,3.4,1.1,3.3,0.4
Beef Lasagne 400G | Tesco,2.5,FALSE,99,2.5,1.1,12,2.8,1.2,6.5,0.3
Finest Pulled Beef & Sweet Onion Mash 450G | Tesco,3.5,FALSE,142,5,2.5,15.2,5.2,1.2,8.4,0.3
Tuna Pasta Bake 450G | Tesco,2.5,FALSE,116,2.1,1.1,15.4,2.4,1.1,8.2,0.4
Spinach & Ricotta Cannelloni 450G | Tesco,2.5,TRUE,105,3.4,1.9,12.8,2.3,0.9,5.4,0.3
Chicken Arrabbiata 450G | Tesco,2.5,FALSE,113,1.5,0.3,16.5,3.2,2,7.4,0.3
Finest Steak Ragu Pappardelle 400G | Tesco,3.5,FALSE,140,3.1,1.2,18,1.3,1.7,9.2,0.4
Pepperoni Pasta Bake 450G | Tesco,2.5,FALSE,132,3.7,1.7,17.8,2.3,1.6,6.1,0.5
Finest Chicken Korma With Pilau Rice 450G | Tesco,3.5,FALSE,140,5.3,2.9,15.1,2.1,2.1,7,0.6
Finest Chicken Prawn & Chorizo Paella 475G | Tesco,3.5,FALSE,107,2.4,0.5,15.4,1.9,1.3,5.5,0.5
Corned Beef Hash 450G | Tesco,2.5,FALSE,114,3.6,1.9,14.2,1.7,1.1,5.7,0.5
Indian Butter Chicken & Rice 450G | Tesco,2.5,FALSE,149,6,2.9,15.4,2.4,1,7.8,0.5
Ham Hock In Mustard Sauce 450G | Tesco,2.5,FALSE,86,2.9,1.4,6.8,1.8,1.4,7.5,0.5
Chilli & Rice 400G | Tesco,2.5,FALSE,102,1.7,0.6,13.2,1.5,4.7,6.2,0.3
Minced Beef Hot Pot 450G | Tesco,2.5,FALSE,100,2.9,0.8,12.1,2.5,2,5.2,0.3
Healthy Living Chicken Tikka Masala & Pilau Rice 400G | Tesco,2.5,FALSE,102,1.5,0.5,14.8,1.6,1.4,6.7,0.3
Fish Pie 450G | Tesco,2.5,FALSE,121,5,3.2,9.9,0.8,1.1,8.6,0.5
Finest Chicken Madeira & Mushroom Rice 450G | Tesco,3.5,FALSE,137,4.6,1.7,13.4,1.1,1.2,9.8,0.3
Finest Lancashire Hot Pot 400G | Tesco,3.5,FALSE,110,3,0.5,11.2,2.2,1.4,8.9,0.6
Chicken Chow Mein 400G | Tesco,2.5,FALSE,107,3.1,0.4,10.3,1.6,1.6,8.7,0.4
Green Thai Chicken Curry & Rice 450G | Tesco,2.5,FALSE,137,2.9,1.4,20.8,1.6,0.6,6.7,0.4
Mushroom Risotto 385G | Tesco,2.5,TRUE,93,2.3,1.1,14,1.7,1.4,3.4,0.4
Hearty Food Company Mac 'N' Cheese 400G | Tesco,1.1,FALSE,135,4.1,2.5,18,1.6,1.9,5.6,0.3
Hearty Food Company Sausages & Mash 400G | Tesco,1.1,FALSE,101,3.8,1,13.4,0.5,1.6,2.4,0.6
Hearty Food Company Lasagne 400G | Tesco,1.1,FALSE,139,6.7,2.8,13,2.4,1.5,5.8,0.5
Hearty Food Company Fish Pie 400G | Tesco,1.1,FALSE,81,2.2,1.2,11,0.6,0.7,4,0.5
Finest King Prawn Spaghetti 400G | Tesco,3.5,FALSE,115,1.8,0.3,18.3,2.8,2.6,5.2,0.5
Finest Crab Rocket & Chilli Linguine 350G | Tesco,3.5,FALSE,117,3.6,1.9,14.8,1.6,1.1,5.7,0.4
Plant Chef Mushroom Cottage Pie 450G | Tesco,2.5,FALSE,91,2.7,0.9,11.6,1.7,4,3.2,0.5
Finest Chicken Parmigiana 450G | Tesco,6,FALSE,145,6.6,1.9,3.7,2.8,1.3,17,0.5
Finest Chicken & Chorizo Paella 700G | Tesco,6,FALSE,115,3.1,0.7,14.8,1.8,1.4,6.4,0.5
Crispy Sweet & Sour Chicken 350G | Tesco,3.5,FALSE,215,10.1,3.9,19.3,9.7,1,11.1,0.5
