Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Classic Fish Pie | Waitrose,2.75,0,96,3.2,1.8,10.6,2,1.2,5.6,0.59
Italian Spaghetti Bolognese | Waitrose,2.75,0,140,4.5,1.9,19.1,1.7,0.8,5.4,0.4
Italian Macaroni Cheese with Bacon | Waitrose,2.75,0,207,9.1,4.3,21.5,1.7,1,9.3,0.61
Italian Beef Lasagne | Waitrose,2.75,0,131,5.9,2.4,11.3,2.2,1,7.7,0.54
Italian Chicken & Parmesan Fettuccine | Waitrose,2.75,0,144,4.9,3,15.3,1.9,0.9,9.1,0.45
Classic Chilli Con Carne with Rice | Waitrose,2.75,0,137,4.7,1.7,15.9,1.7,3.6,5.9,0.38
Italian Macaroni Cheese | Waitrose,2.75,0,193,8.7,4.5,19,1.3,2.6,8.3,0.59
Italian Tuna Pasta Bake | Waitrose,2.75,0,150,5.3,1.8,16.5,3.2,0.9,8.6,0.41
Indian Chicken Biryani | Waitrose,2.66,0,147,5,0.9,16.3,1.7,1.5,8.6,0.55
Italian Beef Bolognese Pasta Bake | Waitrose,2.75,0,179,7.6,3.4,18,2,1,9.1,0.55
Classics Cumberland Pie | Waitrose,2.75,0,97,3.7,1.5,10.7,1.7,1.3,4.5,0.55
Classics Cottage Pie | Waitrose,2.75,0,87,3.1,1.3,10.2,1.8,1.1,4.2,0.52
Vegan Green Thai Curry Soya Pieces & Rice | Waitrose,3.75,0,145,5.4,2.3,17.1,3,3.1,5.5,0.83
"Classics Chicken, Spinach & Leek Pie | Waitrose",2.75,0,126,5.5,2.7,10.7,2.1,1.3,7.9,0.34
Italian Ham & Mushroom Tagliatelle | Waitrose,2.75,0,151,6.2,2.8,16.3,1.7,1,7.1,0.4
Classics Shepherd's Pie | Waitrose,2.75,0,107,4.7,2.4,10.2,2,1.2,5.5,0.43
Classics Lamb with Mint & Redcurrant | Waitrose,2.32,0,104,3.9,2,9.5,3,1.8,6.9,0.29
Italian Spaghetti Carbonara | Waitrose,2.75,0,172,8.3,4.1,16.9,1.2,0.8,7,0.44
Italian Spinach & Ricotta Cannelloni | Waitrose,2.75,0,142,8.6,3.9,9.6,2.8,1.8,5.5,0.51
Four cheese ravioli | Waitrose,2.75,0,150,6.3,2.6,17.4,3.5,0.9,5.4,0.48
Indian Chicken Tikka Masala & Pilau Rice | Waitrose,2.33,0,156,7.9,2.8,13.4,3.2,1.4,7.1,0.4
Classics Braised Beef & Mash | Waitrose,2.32,0,76,1.9,0.8,5.9,2.3,1.1,8.2,0.28
Asian Korean Barbecue Pork & Sticky Rice | Waitrose,3.99,0,142,3.8,1.1,19.2,4.8,2.1,6.5,0.75
Italian Spaghetti & Meatballs | Waitrose,2.75,0,131,6,1.8,12.8,2.7,0.8,6.1,0.34
Vegan Mushroom Carbonara | Waitrose,3.75,0,122,4.4,3,16.5,1,2.4,3,0.4
Chinese Chicken Chow Mein | Waitrose,3.69,0,108,2.6,0.5,12.7,3.1,2.8,6.9,0.81
Classic Beef Stroganoff with Rice | Waitrose,2.32,0,118,3.1,1.3,15.3,0.8,1.2,6.5,0.5
Indian Vegetable Biryani | Waitrose,2.66,0,139,5.6,1.2,17.5,3.4,3.6,2.8,0.46
Classic Chicken Hotpot | Waitrose,2.75,0,97,3.7,0.7,9.8,1.5,1.4,5.4,0.36
Asian Katsu Chicken Curry | Waitrose,3.99,0,166,6.2,1.5,18.1,1.8,2.1,8.3,0.51
Indian Chicken Korma & Pilau Rice | Waitrose,2.33,0,158,7.9,3.7,14,2,2.4,6.6,0.61
Italian Chicken Arrabiata Penne | Waitrose,2.75,0,132,3.8,1.1,17.5,3,1.8,6.1,0.32
Classics Chicken in Mushroom Sauce | Waitrose,2.32,0,129,2,0.9,19.4,0.7,1.8,7.4,0.29
Asian Chicken Pad Thai | Waitrose,3.99,0,147,6,1.1,15.5,3,2.6,6.6,0.43
Vegan Chilli with Soya Mince & Rice | Waitrose,3.75,0,107,2.1,0.2,14.9,3.5,3.6,5.4,0.35
Asian Nasi Goreng | Waitrose,3.99,0,128,3.1,0.5,16.5,3.2,1.8,7.7,0.71
Chinese Singapore Noodles | Waitrose,3.99,0,131,5,0.9,14.3,1.8,1.2,6.5,0.62
Classics Sausage & Mash | Waitrose,2.75,0,136,8.2,2.9,9.5,2,1.1,5.6,0.47
Vegan Mac & Greens | Waitrose,3.75,0,121,4.7,3.2,14.3,0.7,3.9,3.3,0.4
Vegan Sweet Potato Katsu Curry with Sticky Rice | Waitrose,3.75,0,156,5.4,1.2,23.5,4.2,1.7,2.6,0.5
